sep=;
Date;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades
2011-09-20;3450,620;3372,480;3450,850;;1;336833920;0
2011-09-19;3457,370;3386,520;3397,780;;1;314710336;0
2011-09-16;3514,920;3441,790;3500,180;;1;660178688;0
2011-09-15;3469,910;3375,600;3451,870;;1;496339584;0
2011-09-14;3358,310;3285,490;3351,050;;1;492644704;0
2011-09-13;3340,920;3238,930;3308,910;;1;571986560;0
2011-09-12;3330,690;3271,080;3294,530;;1;464253280;0
2011-09-09;3514,710;3400,700;3400,990;;1;458076928;0
2011-09-08;3548,110;3470,180;3524,310;;1;477951072;0
2011-09-07;3509,980;3432,210;3510,300;;1;440709888;0
2011-09-06;3437,150;3352,250;3377,890;;1;498010080;0
2011-09-05;3507,100;3388,540;3407,300;;1;412840928;0
2011-09-02;3624,930;3534,110;3552,520;;1;429986400;0
2011-09-01;3667,630;3586,740;3659,980;;1;616176320;0
2011-08-31;3668,100;3544,240;3657,380;;1;642021696;0
2011-08-30;3548,250;3490,890;3544,240;;1;400465312;0
2011-08-29;3518,340;3415,980;3510,250;;1;238659168;0
2011-08-26;3429,930;3333,250;3415,930;;1;402494336;0
2011-08-25;3515,810;3422,350;3433,350;;1;452128960;0
2011-08-24;3496,010;3406,730;3454,640;;1;391186080;0
2011-08-23;3479,880;3388,240;3411,400;;1;463646720;0
2011-08-22;3435,750;3336,110;3380,880;;1;439517184;0
2011-08-19;3419,260;3260,230;3366,070;;1;768368384;0
2011-08-18;3595,410;3362,450;3381,770;;1;661237056;0
2011-08-17;3620,470;3511,170;3595,650;;1;490448192;0
2011-08-16;3637,950;3527,890;3574,420;;1;593626432;0
2011-08-15;3689,020;3534,630;3615,390;;1;571151808;0
2011-08-12;3547,330;3359,060;3540,030;;1;568714432;0
2011-08-11;3424,880;3256,390;3419,800;;1;748834048;0
2011-08-10;3495,880;3268,930;3274,290;;1;910528448;0
2011-08-09;3353,310;3105,310;3353,310;;1;1029977472;0
2011-08-08;3420,160;3224,980;3227,880;;1;734107776;0
2011-08-05;3454,470;3217,780;3364,010;;1;1037866240;0
2011-08-04;3641,070;3404,420;3404,420;;1;804006336;0
2011-08-03;3664,330;3563,970;3591,860;;1;755334272;0
2011-08-02;3824,110;3706,800;3706,800;;1;604313664;0
2011-08-01;4012,290;3819,370;3819,370;;1;520739328;0
2011-07-29;3945,960;3889,140;3930,820;;1;471406144;0
2011-07-28;3976,720;3919,220;3952,900;;1;478982368;0
2011-07-27;4040,060;3988,100;4001,620;;1;360337408;0
2011-07-26;4085,780;4032,970;4050,730;;1;333452384;0
2011-07-25;4087,020;4056,000;4070,570;;1;343580768;0
2011-07-22;4143,720;4086,880;4102,870;;1;446618464;0
2011-07-21;4085,420;3992,750;4078,100;;1;833276736;0
2011-07-20;4066,110;4008,280;4055,370;;1;521362656;0
2011-07-19;3981,690;3937,840;3977,010;;1;485690304;0
2011-07-18;4046,310;3935,170;3942,890;;1;392256896;0
2011-07-15;4083,180;4041,510;4051,130;;1;419518912;0
2011-07-14;4139,070;4087,300;4101,900;;1;330016416;0
2011-07-13;4158,160;4091,230;4152,920;;1;496430816;0
2011-07-12;4118,570;4020,820;4107,490;;1;520922016;0
2011-07-11;4230,120;4148,440;4157,160;;1;418279392;0
2011-07-08;4360,730;4264,300;4264,420;;1;393049920;0
2011-07-07;4350,760;4301,070;4346,590;;1;390129664;0
2011-07-06;4312,850;4284,650;4292,610;;1;374680576;0
2011-07-05;4333,230;4304,170;4310,830;;1;358905088;0
2011-07-04;4338,840;4314,930;4330,520;;1;268842304;0
2011-07-01;4320,750;4261,200;4317,260;;1;454633056;0
2011-06-30;4286,890;4220,070;4286,890;;1;551832640;0
2011-06-29;4199,790;4075,720;4199,790;;1;553456128;0
2011-06-28;4079,470;4027,410;4058,090;;1;465549962,599;0
2011-06-27;4051,730;4021,670;4040,480;;1;574732662,733;0
2011-06-23;4115,110;4058,000;4062,380;;1;484565641,248;0
2011-06-22;4172,800;4128,880;4128,880;;1;444022528;0
2011-06-21;4146,850;4080,670;4146,850;;1;567329213,792;0
2011-06-20;4160,450;4080,600;4080,660;;1;519329504;0
2011-06-17;4215,590;4112,760;4199,850;;1;617450752;0
2011-06-16;4192,420;4100,670;4148,200;;1;653731968;0
2011-06-15;4287,690;4206,520;4217,030;;1;544724160;0
2011-06-14;4316,430;4272,140;4284,930;;1;534424864;0
2011-06-13;4305,770;4268,390;4275,370;;1;288783104;0
2011-06-10;4356,410;4288,930;4297,200;;1;450715936;0
2011-06-09;4356,970;4295,950;4356,830;;1;457350912;0
2011-06-08;4398,230;4299,440;4300,410;;1;547869952;0
2011-06-07;4427,340;4385,900;4398,370;;1;400717344;0
2011-06-06;4427,670;4389,660;4402,350;;1;403198528;0
2011-06-03;4483,590;4410,480;4425,710;;1;623394304;0
2011-06-01;4536,470;4469,920;4508,810;;1;1230470144;0
2011-05-31;4630,990;4525,490;4534,710;;1;1205756544;0
2011-05-30;4591,950;4578,080;4581,050;;1;197827424;0
2011-05-27;4580,020;4557,900;4571,200;;1;369221888;0
2011-05-26;4595,270;4540,070;4545,490;;1;465361472;0
2011-05-25;4572,560;4536,140;4572,560;;1;489197760;0
2011-05-24;4605,940;4566,870;4566,870;;1;395487904;0
2011-05-23;4610,140;4558,380;4564,060;;1;463282208;0
2011-05-20;4692,530;4641,000;4648,540;;1;507658912;0
2011-05-19;4671,340;4631,810;4663,500;;1;395850336;0
2011-05-18;4666,250;4634,130;4642,940;;1;327981920;0
2011-05-17;4683,130;4630,640;4631,290;;1;395702784;0
2011-05-16;4662,670;4617,460;4657,880;;1;511454624;0
2011-05-13;4706,860;4661,000;4667,720;;1;343686496;0
2011-05-12;4695,630;4646,750;4675,110;;1;447528928;0
2011-05-11;4724,370;4687,770;4707,790;;1;490053056;0
2011-05-10;4696,470;4644,960;4696,470;;1;512954080;0
2011-05-09;4671,600;4620,270;4650,080;;1;443704128;0
2011-05-06;4644,400;4542,680;4641,960;;1;610990656;0
2011-05-05;4643,430;4574,820;4585,400;;1;567428864;0
2011-05-04;4676,980;4606,210;4611,350;;1;619798272;0
2011-05-03;4768,370;4699,320;4708,780;;1;623566464;0
2011-05-02;4770,740;4756,760;4767,950;;1;377486592;0
2011-04-29;4743,210;4728,330;4741,850;;1;3132376064;0
2011-04-28;4738,750;4720,410;4738,750;;1;814662848;0
2011-04-27;4722,390;4689,300;4715,960;;1;570144512;0
2011-04-26;4702,310;4675,700;4699,530;;1;433725248;0
2011-04-21;4709,040;4674,520;4688,870;;1;832082752;0
2011-04-20;4689,520;4637,480;4685,030;;1;654089792;0
2011-04-19;4633,710;4587,990;4621,780;;1;453981376;0
2011-04-18;4659,310;4570,370;4585,850;;1;518525632;0
2011-04-15;4680,620;4639,830;4659,560;;1;532123776;0
2011-04-14;4734,960;4674,150;4691,630;;1;430820000;0
2011-04-13;4744,570;4706,330;4733,350;;1;488853536;0
2011-04-12;4762,610;4696,630;4703,700;;1;555009344;0
2011-04-11;4785,980;4753,140;4785,980;;1;410691840;0
2011-04-08;4777,220;4758,870;4774,430;;1;457272512;0
2011-04-07;4801,160;4751,170;4754,880;;1;666927488;0
2011-04-06;4802,790;4774,950;4802,410;;1;485168896;0
2011-04-05;4801,590;4767,800;4801,590;;1;519012352;0
2011-04-04;4797,170;4767,650;4797,170;;1;510377856;0
2011-04-01;4770,300;4722,820;4769,420;;1;628651200;0
2011-03-31;4772,620;4737,130;4743,110;;1;647849280;0
2011-03-30;4780,050;4761,510;4768,870;;1;508317888;0
2011-03-29;4752,050;4709,270;4736,840;;1;418091200;0
2011-03-28;4746,440;4704,530;4733,790;;1;471882816;0
2011-03-25;4716,250;4681,370;4713,420;;1;464507936;0
2011-03-24;4692,530;4629,910;4692,530;;1;472585440;0
2011-03-23;4646,670;4604,820;4646,330;;1;434278496;0
2011-03-22;4671,510;4604,890;4627,450;;1;518461920;0
2011-03-21;4642,830;4602,530;4639,250;;1;572820608;0
2011-03-18;4581,560;4545,370;4551,360;;1;775196800;0
2011-03-17;4527,430;4465,120;4514,110;;1;655749760;0
2011-03-16;4554,840;4450,080;4450,080;;1;831714176;0
2011-03-15;4489,780;4335,040;4481,850;;1;1143440256;0
2011-03-14;4571,440;4525,750;4528,620;;1;640556736;0
2011-03-11;4653,170;4596,250;4596,250;;1;496556768;0
2011-03-10;4719,690;4669,690;4673,560;;1;515289472;0
2011-03-09;4745,550;4702,650;4726,360;;1;565415744;0
2011-03-08;4706,490;4664,210;4684,200;;1;462802880;0
2011-03-07;4707,640;4638,190;4670,420;;1;519345856;0
2011-03-04;4715,050;4656,500;4662,390;;1;549104256;0
2011-03-03;4718,620;4687,650;4706,370;;1;524304448;0
2011-03-02;4700,950;4661,170;4676,570;;1;533968960;0
2011-03-01;4759,670;4707,870;4720,800;;1;612104128;0
2011-02-28;4724,790;4674,530;4709,580;;1;493794336;0
2011-02-25;4691,280;4646,510;4678,800;;1;434986240;0
2011-02-24;4648,250;4588,060;4627,390;;1;617085824;0
2011-02-23;4716,550;4628,780;4640,700;;1;754446400;0
2011-02-22;4741,930;4681,750;4732,430;;1;649968064;0
2011-02-21;4801,940;4741,150;4742,920;;1;434490336;0
2011-02-18;4795,120;4758,030;4787,520;;1;525513472;0
2011-02-17;4806,480;4751,130;4757,980;;1;625471168;0
2011-02-16;4807,850;4792,710;4800,120;;1;625039360;0
2011-02-15;4812,220;4767,430;4779,170;;1;789899392;0
2011-02-14;4823,290;4805,340;4807,990;;1;914226496;0
2011-02-11;4848,340;4795,550;4818,060;;1;2017174272;0
2011-02-10;4899,350;4844,730;4859,840;;1;864405248;0
2011-02-09;4907,580;4873,560;4897,240;;1;891882560;0
2011-02-08;4894,510;4854,840;4878,510;;1;749957504;0
2011-02-07;4890,340;4852,380;4881,760;;1;801123136;0
2011-02-04;4856,730;4814,340;4832,090;;1;790368256;0
2011-02-03;4874,860;4813,410;4825,160;;1;975532544;0
2011-02-02;4914,550;4841,820;4849,730;;1;1252258944;0
2011-02-01;4914,400;4864,170;4903,700;;1;689769152;0
2011-01-31;4849,710;4814,410;4841,070;;1;570294080;0
2011-01-28;4895,600;4842,820;4855,670;;1;678225152;0
2011-01-27;4860,710;4809,750;4851,550;;1;1345751680;0
2011-01-26;4852,430;4823,970;4830,260;;1;655179008;0
2011-01-25;4856,740;4796,960;4804,180;;1;705046784;0
2011-01-24;4845,040;4781,500;4805,010;;1;486183040;0
2011-01-21;4848,080;4749,800;4804,480;;1;701392000;0
2011-01-20;4785,630;4724,470;4742,010;;1;838376320;0
2011-01-19;4886,890;4788,920;4788,920;;1;724057984;0
2011-01-18;4883,650;4852,570;4879,990;;1;593125568;0
2011-01-17;4873,310;4840,230;4851,170;;1;363234656;0
2011-01-14;4869,080;4819,760;4865,400;;1;582297088;0
2011-01-13;4893,110;4851,500;4860,850;;1;636168576;0
2011-01-12;4891,990;4823,850;4891,990;;1;587339072;0
2011-01-11;4822,340;4758,860;4821,100;;1;461292672;0
2011-01-10;4827,500;4741,360;4741,360;;1;502630912;0
2011-01-07;4848,480;4798,710;4832,480;;1;598621440;0
2011-01-05;4838,080;4787,250;4808,760;;1;574338560;0
2011-01-04;4871,780;4825,090;4826,750;;1;549452864;0
2011-01-03;4851,120;4777,600;4846,470;;1;363726720;0
2010-12-30;4789,210;4752,020;4755,760;;1;300257888;0
2010-12-29;4789,710;4771,090;4778,630;;1;253107056;0
2010-12-28;4770,300;4756,340;4763,730;;1;196402336;0
2010-12-27;4770,500;4746,440;4755,240;;1;164180960;0
2010-12-23;4775,460;4760,670;4772,080;;1;226881184;0
2010-12-22;4777,730;4757,320;4771,660;;1;494843904;0
2010-12-21;4753,280;4715,690;4752,310;;1;590093760;0
2010-12-20;4694,740;4648,260;4685,390;;1;360139328;0
2010-12-17;4672,000;4646,120;4646,120;;1;612829120;0
2010-12-16;4656,700;4630,770;4651,260;;1;415776736;0
2010-12-15;4642,020;4592,530;4639,530;;1;519508096;0
2010-12-14;4621,300;4593,520;4621,300;;1;468165248;0
2010-12-13;4628,010;4601,860;4622,950;;1;401072352;0
2010-12-10;4602,140;4575,500;4588,790;;1;422643552;0
2010-12-09;4666,380;4589,540;4596,080;;1;558925632;0
2010-12-08;4656,660;4618,580;4634,420;;1;517383104;0
2010-12-07;4640,220;4580,490;4633,630;;1;647293568;0
2010-12-03;4606,980;4540,260;4585,910;;1;559005760;0
2010-12-02;4584,800;4504,280;4584,800;;1;625313152;0
2010-12-01;4499,560;4415,330;4499,560;;1;569520576;0
2010-11-30;4427,630;4371,600;4394,070;;1;583297856;0
2010-11-29;4518,160;4408,960;4410,540;;1;515002464;0
2010-11-26;4521,300;4469,130;4490,000;;1;475159712;0
2010-11-25;4513,670;4470,140;4511,760;;1;568533184;0
2010-11-24;4467,980;4388,020;4463,150;;1;574670720;0
2010-11-23;4452,660;4401,190;4401,190;;1;524219840;0
2010-11-22;4527,740;4456,410;4470,650;;1;411507072;0
2010-11-19;4529,560;4483,930;4505,920;;1;475618176;0
2010-11-18;4519,460;4483,920;4516,950;;1;469514784;0
2010-11-17;4467,130;4422,110;4460,670;;1;427732096;0
2010-11-16;4529,950;4431,150;4437,340;;1;522571968;0
2010-11-15;4543,360;4476,040;4541,170;;1;404981056;0
2010-11-12;4519,160;4460,420;4498,450;;1;427525280;0
2010-11-11;4575,420;4519,220;4532,410;;1;365939744;0
2010-11-10;4594,390;4554,120;4564,990;;1;505219776;0
2010-11-09;4586,490;4516,460;4586,460;;1;526149824;0
2010-11-08;4546,780;4508,760;4516,630;;1;319241440;0
2010-11-05;4564,300;4512,410;4542,590;;1;413754656;0
2010-11-04;4551,110;4502,130;4541,520;;1;506557600;0
2010-11-03;4504,500;4449,850;4457,920;;1;476493312;0
2010-11-02;4496,730;4478,850;4486,280;;1;379767552;0
2010-11-01;4501,050;4462,770;4481,310;;1;510909952;0
2010-10-29;4509,620;4452,670;4462,760;;1;576954752;0
2010-10-28;4544,310;4494,060;4500,430;;1;555563392;0
2010-10-27;4571,590;4525,120;4528,710;;1;554412672;0
2010-10-26;4585,090;4542,590;4549,810;;1;516874400;0
2010-10-25;4604,190;4564,990;4585,950;;1;540476736;0
2010-10-22;4559,650;4539,820;4549,940;;1;583387008;0
2010-10-21;4577,470;4470,870;4569,330;;1;1373565696;0
2010-10-20;4471,680;4429,170;4471,350;;1;500904608;0
2010-10-19;4499,350;4436,940;4441,780;;1;558941760;0
2010-10-18;4491,570;4454,530;4468,780;;1;426732800;0
2010-10-15;4541,340;4465,060;4483,910;;1;547100992;0
2010-10-14;4611,640;4526,770;4527,620;;1;707704832;0
2010-10-13;4604,860;4546,990;4596,860;;1;585167808;0
2010-10-12;4535,960;4490,640;4532,420;;1;417482176;0
2010-10-11;4542,630;4505,870;4537,400;;1;461965856;0
2010-10-08;4496,290;4462,000;4495,180;;1;440087680;0
2010-10-07;4493,640;4439,220;4484,580;;1;496070400;0
2010-10-06;4477,540;4442,870;4453,480;;1;517834048;0
2010-10-05;4438,860;4367,190;4430,250;;1;473438048;0
2010-10-04;4429,460;4377,950;4377,950;;1;368004192;0
2010-10-01;4440,310;4399,770;4412,990;;1;473825888;0
2010-09-30;4431,930;4364,340;4400,430;;1;596018624;0
2010-09-29;4390,840;4357,470;4373,580;;1;440883008;0
2010-09-28;4366,760;4308,420;4366,760;;1;519735168;0
2010-09-27;4355,840;4323,140;4324,900;;1;405380800;0
2010-09-24;4339,030;4255,800;4338,310;;1;439859872;0
2010-09-23;4331,970;4239,820;4271,940;;1;477316032;0
2010-09-22;4364,130;4305,610;4307,350;;1;587585344;0
2010-09-21;4389,470;4352,620;4359,640;;1;661685504;0
2010-09-20;4371,710;4324,290;4371,710;;1;465050400;0
2010-09-17;4369,430;4300,300;4317,280;;1;770878976;0
2010-09-16;4318,270;4289,190;4304,100;;1;379838400;0
2010-09-15;4314,750;4276,660;4303,820;;1;445699712;0
2010-09-14;4335,840;4278,340;4300,570;;1;511012288;0
2010-09-13;4335,370;4309,530;4323,400;;1;462630752;0
2010-09-10;4317,080;4275,380;4284,840;;1;835509568;0
2010-09-09;4261,030;4200,850;4254,100;;1;510198816;0
2010-09-08;4221,270;4150,260;4216,450;;1;519718272;0
2010-09-07;4202,260;4150,730;4167,880;;1;526577280;0
2010-09-06;4217,580;4182,070;4186,180;;1;266926608;0
2010-09-03;4204,670;4157,310;4183,150;;1;448582848;0
